"","X.3","X.2","X.1","X","institutionCode","collectionCode","collectionID","occurrenceID","catalogNumber","family","scientificName","taxonID","scientificNameAuthorship","genus","subgenus","specificEpithet","verbatimTaxonRank","infraspecificEpithet","cultivarEpithet","taxonRank","identifiedBy","dateIdentified","identificationReferences","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","sex","individualCount","country","countryCode","stateProvince","county","municipality","locality","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","rights.x","recordID","references","identifier","accessURI","thumbnailAccessURI","goodQualityAccessURI","rights.y","Owner","creator","UsageTerms","total_n","median_itd","sd_itd","verbatimScientificName","acceptedSpecies","developmentYear","tmean_annual","ppt_annual","urban_fraction","cropland_fraction","grazing_fraction","pasture_fraction","nlcd_year","nlcd_value","nlcd_class"
"1",1,2559,2559,2559,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00032959","AMNHBEE00032959","Apidae","Anthophora urbana",6228,"Cresson, 1878","Anthophora","","urbana",NA,"",NA,"Species","J.S. Ascher","2007",NA,"J.S. Ascher","","10/31/05",2005,10,31,304,NA,"2005","","","female",1,"United States","","California","Merced","","I-5 gas station",NA,37.2477,-121.0898,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","7d78cbd0-354d-4dc2-9d1d-02529dd9ca74","https://library.big-bee.net/portal/collections/individual/index.php?occid=2158733","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00032/AMNH_BEE_00032959_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00032/AMNH_BEE_00032959_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00032/AMNH_BEE_00032959_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00032/AMNH_BEE_00032959_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",4,0.2762295,0.02875729,NA,NA,2004,8.093000412,460.9199982,0,48.27733612,15.54995251,0,2004,21,"Developed, Open Space"
"2",2,2560,2560,2560,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00032962","AMNHBEE00032962","Apidae","Anthophora urbana",6228,"Cresson, 1878","Anthophora","","urbana",NA,"",NA,"Species","J.S. Ascher","2007",NA,"J.S. Ascher","","10/31/05",2005,10,31,304,NA,"2005","","","female",1,"United States","","California","Merced","","I-5 gas station",NA,37.2477,-121.0898,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","c1ef5824-71a4-4f02-8776-4e01aff9db08","https://library.big-bee.net/portal/collections/individual/index.php?occid=2158734","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00032/AMNH_BEE_00032962_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00032/AMNH_BEE_00032962_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00032/AMNH_BEE_00032962_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00032/AMNH_BEE_00032962_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",5,0.344941895,0.028777996,NA,NA,2004,8.093000412,460.9199982,0,48.27733612,15.54995251,0,2004,21,"Developed, Open Space"
"3",3,2246,2246,2246,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00056674","AMNHBEE00056674","Halictidae","Lasioglossum sisymbrii",14361,"(Cockerell, 1895)","Lasioglossum","","sisymbrii",NA,"",NA,"Species","J.S. Ascher","",NA,"J.S. Ascher","","4/17/00",2000,4,17,108,108,"17-Apr-00","","","female",1,"United States","","California","Riverside","","Palm Springs, at base of Aerial Tramway","",33.84888,-116.58138,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","062b38ea-8482-4c4d-b02e-0200ace479fa","https://library.big-bee.net/portal/collections/individual/index.php?occid=2157506","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056674_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056674_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056674_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056674_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",5,0.201980303,0.043179074,NA,NA,2000,12.93000031,8.376000168,0,0.340958506,18.3682766,0,2000,52,"Shrub/Scrub"
"4",4,2247,2247,2247,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00056860","AMNHBEE00056860","Halictidae","Lasioglossum sisymbrii",14361,"(Cockerell, 1895)","Lasioglossum","","sisymbrii",NA,"",NA,"Species","J.S. Ascher","2008",NA,"J.S. Ascher","","4/16/00",2000,4,16,107,107,"16-Apr-00","","","female",1,"United States","","California","Orange","","5 mi N of Laguna Beach","",33.615,-117.782,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","0b9e0b54-7a45-498d-bc94-bad71af0c1fc","https://library.big-bee.net/portal/collections/individual/index.php?occid=2157508","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056860_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056860_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056860_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056860_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",3,0.248280301,0.032494424,NA,NA,2000,14.42300034,236.82000732,0,0,0,0,2000,52,"Shrub/Scrub"
"5",5,2248,2248,2248,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00056861","AMNHBEE00056861","Halictidae","Lasioglossum sisymbrii",14361,"(Cockerell, 1895)","Lasioglossum","","sisymbrii",NA,"",NA,"Species","J.S. Ascher","2008",NA,"J.S. Ascher","","4/16/00",2000,4,16,107,107,"16-Apr-00","","","female",1,"United States","","California","Orange","","5 mi N of Laguna Beach","",33.615,-117.782,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","a2555fbf-a6ad-492a-87c6-0fc3e9aeb10b","https://library.big-bee.net/portal/collections/individual/index.php?occid=2157509","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056861_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056861_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056861_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00056/AMNH_BEE_00056861_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",5,0.22335373,0.032065514,NA,NA,2000,14.42300034,236.82000732,0,0,0,0,2000,52,"Shrub/Scrub"
"6",6,2561,2561,2561,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00101324","AMNHBEE00101324","Apidae","Anthophora urbana",6228,"Cresson, 1878","Anthophora","","urbana",NA,"",NA,"Species","J.S. Ascher","2010",NA,"D. Suvillan","","6/22/64",1964,6,22,174,NA,"1964","","","female",1,"United States","","California","Lassen","","Hallelujah Junction",NA,39.77643,-120.03624,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","13cc7de4-c1a0-4263-a043-9461f99f9a00","https://library.big-bee.net/portal/collections/individual/index.php?occid=2158775","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00101/AMNH_BEE_00101324_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00101/AMNH_BEE_00101324_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00101/AMNH_BEE_00101324_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00101/AMNH_BEE_00101324_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",5,0.399709476,0.063460961,NA,NA,1963,-2.209000111,586.00799556,0,1.180009127,62.37969589,0,NA,NA,NA
"7",7,2249,2249,2249,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00107087","AMNHBEE00107087","Halictidae","Lasioglossum sisymbrii",14361,"(Cockerell, 1895)","Lasioglossum","","sisymbrii",NA,"",NA,"Species","J.S. Ascher","2010",NA,"G.I. Stage","","04/01/1959",1959,4,1,91,91,"IV-1-1959","","","female",1,"United States","","California","Kern","","Red Rock Canyon","",35.325,-117.94972,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","b7c1a09b-99c9-4c51-902f-387ef5b8b985","https://library.big-bee.net/portal/collections/individual/index.php?occid=2157514","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00107/AMNH_BEE_00107087_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00107/AMNH_BEE_00107087_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00107/AMNH_BEE_00107087_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00107/AMNH_BEE_00107087_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",3,0.233211886,0.017056565,NA,NA,1959,9.331000328,269.20800024,0,17.29011154,37.10233688,0,NA,NA,NA
"8",8,2562,2562,2562,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00134613","AMNHBEE00134613","Apidae","Anthophora urbana",6228,"Cresson, 1878","Anthophora","","urbana",NA,"",NA,"Species","R.W. Brooks","1979",NA,"C.D. Michener","","10/22/32",1932,10,22,296,NA,"1932","","","female",1,"United States","","California","Los Angeles","","Pasadena",NA,34.14778,-118.14361,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","6d0e3f90-323b-44e9-a2fb-e74f85f15b9c","https://library.big-bee.net/portal/collections/individual/index.php?occid=2158886","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134613_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134613_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134613_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134613_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",4,0.37587981,0.056773997,NA,NA,1931,12.93400097,1040.54397588,1,7.262765884,0.334552944,0.334552944,NA,NA,NA
"9",9,2563,2563,2563,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00134624","AMNHBEE00134624","Apidae","Anthophora urbana",6228,"Cresson, 1878","Anthophora","","urbana",NA,"",NA,"Species","R.W. Brooks","1979",NA,"M.A. Cazier","","5/24/36",1936,5,24,145,NA,"1936","","","female",1,"United States","","California","Alameda","","Midway",NA,37.71472,-121.55805,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","63dc93ab-ad9e-4cdd-8ebb-6c8a6096602f","https://library.big-bee.net/portal/collections/individual/index.php?occid=2158887","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134624_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134624_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134624_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134624_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",5,0.353730014,0.11229884,NA,NA,1935,8.152000427,702.90000912,0,29.30595016,13.66072655,13.66072655,NA,NA,NA
"10",10,2564,2564,2564,"UCSB","Smith","46da7109-a045-450b-ad55-f7ba692014fa","AMNH_BEE 00134626","AMNHBEE00134626","Apidae","Anthophora urbana",6228,"Cresson, 1878","Anthophora","","urbana",NA,"",NA,"Species","R.W. Brooks","1979",NA,"W. M. Wheeler","","8/23/17",2017,8,23,235,235,"1917","","","female",1,"United States","","California","Tulare","","Alta Meadow",NA,35.578,-118.655,"",NA,"","http://creativecommons.org/publicdomain/zero/1.0/","72747ed5-e2e5-4f3b-b60a-f5d230667085","https://library.big-bee.net/portal/collections/individual/index.php?occid=2158888","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134626_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134626_had_lbs.JPG","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134626_had_lbs_tn.jpg","https://library.big-bee.net/imglib/bigbee/UCSB_Smith/AMNH_BEE00134/AMNH_BEE_00134626_had_lbs.JPG","http://creativecommons.org/publicdomain/zero/1.0/","The Bees they are a Changin project (UCSB-Smith)","","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",5,0.37412592,0.01101276,NA,NA,2016,5.002000332,2136.312012,0,3.880055428,25.81152153,0,2016,52,"Shrub/Scrub"
